accidentId,region_id,relationship
AE_FIRE_EM_00286,REG_제주시_용담이동,OCCURRED_IN_REGION
AE_FIRE_EM_00287,REG_제주시_노형동,OCCURRED_IN_REGION
AE_FIRE_EM_00288,REG_제주시_연동,OCCURRED_IN_REGION
AE_FIRE_EM_00289,REG_제주시_연동,OCCURRED_IN_REGION
AE_FIRE_EM_00290,REG_제주시_연동,OCCURRED_IN_REGION
AE_FIRE_EM_00291,REG_제주시_조천읍,OCCURRED_IN_REGION
AE_FIRE_EM_00292,REG_서귀포시_강정동,OCCURRED_IN_REGION
AE_FIRE_EM_00293,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00294,REG_제주시_회천동,OCCURRED_IN_REGION
AE_FIRE_EM_00295,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00296,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00297,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00298,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00299,REG_제주시_구좌읍,OCCURRED_IN_REGION
AE_FIRE_EM_00300,REG_제주시_구좌읍,OCCURRED_IN_REGION
AE_FIRE_EM_00301,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00302,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00303,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00304,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00305,REG_제주시_조천읍,OCCURRED_IN_REGION
AE_FIRE_EM_00306,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00307,REG_제주시_조천읍,OCCURRED_IN_REGION
AE_FIRE_EM_00308,REG_제주시_도두일동,OCCURRED_IN_REGION
AE_FIRE_EM_00309,REG_제주시_용담일동,OCCURRED_IN_REGION
AE_FIRE_EM_00310,REG_제주시_노형동,OCCURRED_IN_REGION
AE_FIRE_EM_00311,REG_제주시_노형동,OCCURRED_IN_REGION
AE_FIRE_EM_00312,REG_제주시_도두일동,OCCURRED_IN_REGION
AE_FIRE_EM_00313,REG_제주시_연동,OCCURRED_IN_REGION
AE_FIRE_EM_00314,REG_제주시_용담이동,OCCURRED_IN_REGION
AE_FIRE_EM_00315,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00316,REG_제주시_도두일동,OCCURRED_IN_REGION
AE_FIRE_EM_00317,REG_제주시_연동,OCCURRED_IN_REGION
AE_FIRE_EM_00318,REG_제주시_연동,OCCURRED_IN_REGION
AE_FIRE_EM_00319,REG_제주시_아라일동,OCCURRED_IN_REGION
AE_FIRE_EM_00320,REG_제주시_조천읍,OCCURRED_IN_REGION
AE_FIRE_EM_00321,REG_제주시_애월읍,OCCURRED_IN_REGION
AE_FIRE_EM_00322,REG_제주시_구좌읍,OCCURRED_IN_REGION
AE_FIRE_EM_00323,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00324,REG_제주시_구좌읍,OCCURRED_IN_REGION
AE_FIRE_EM_00325,REG_제주시_구좌읍,OCCURRED_IN_REGION
AE_FIRE_EM_00326,REG_제주시_우도면,OCCURRED_IN_REGION
AE_FIRE_EM_00327,REG_서귀포시_서귀동,OCCURRED_IN_REGION
AE_FIRE_EM_00328,REG_서귀포시_서귀동,OCCURRED_IN_REGION
AE_FIRE_EM_00329,REG_서귀포시_서귀동,OCCURRED_IN_REGION
AE_FIRE_EM_00330,REG_서귀포시_남원읍,OCCURRED_IN_REGION
AE_FIRE_EM_00331,REG_서귀포시_서홍동,OCCURRED_IN_REGION
AE_FIRE_EM_00332,REG_서귀포시_서귀동,OCCURRED_IN_REGION
AE_FIRE_EM_00333,REG_서귀포시_서귀동,OCCURRED_IN_REGION
AE_FIRE_EM_00334,REG_서귀포시_중문동,OCCURRED_IN_REGION
AE_FIRE_EM_00335,REG_서귀포시_서귀동,OCCURRED_IN_REGION
AE_FIRE_EM_00336,REG_서귀포시_색달동,OCCURRED_IN_REGION
AE_FIRE_EM_00337,REG_서귀포시_서귀동,OCCURRED_IN_REGION
AE_FIRE_EM_00338,REG_서귀포시_서귀동,OCCURRED_IN_REGION
AE_FIRE_EM_00339,REG_서귀포시_성산읍,OCCURRED_IN_REGION
AE_FIRE_EM_00340,REG_서귀포시_안덕면,OCCURRED_IN_REGION
AE_FIRE_EM_00341,REG_제주시_우도면,OCCURRED_IN_REGION
AE_FIRE_EM_00342,REG_서귀포시_성산읍,OCCURRED_IN_REGION
