placeId,riskScore,riskBasis,nearbyAnnualAvg,regionAnnualAvg
P520,0.2423,nearby_1km,2.5,12.67
P521,0.1982,nearby_1km,2.0,101.33
P522,0.1982,nearby_1km,2.0,103.67
P523,0.2026,region_only,0.0,5.33
P524,0.3965,nearby_1km,5.0,57.0
P525,0.0,nearby_1km,0.5,134.0
P526,0.0,nearby_1km,0.5,65.67
P527,0.3142,nearby_1km,3.5,5.0
P528,0.0,nearby_1km,0.5,79.33
P529,0.1982,nearby_1km,2.0,65.67
P530,0.1982,nearby_1km,2.0,114.0
P531,0.2805,nearby_1km,3.0,57.0
P532,0.2576,region_only,0.0,8.67
P533,0.3443,nearby_1km,4.0,114.0
P534,0.296,region_only,0.0,12.0
P535,0.5825,region_only,0.0,117.0
P536,0.1982,nearby_1km,2.0,7.0
P537,0.3965,nearby_1km,5.0,0.0
P538,0.6,region_only,0.0,134.0
P539,0.0,nearby_1km,0.5,32.0
P540,0.0,nearby_1km,0.5,5.67
P541,0.0,nearby_1km,0.5,8.67
P542,0.1982,nearby_1km,2.0,65.67
P543,0.5792,region_only,0.0,114.0
P544,0.1461,nearby_1km,1.5,101.33
P545,0.172,region_only,0.0,4.0
P546,0.4171,region_only,0.0,32.0
P547,0.4171,region_only,0.0,32.0
P548,0.0823,nearby_1km,1.0,57.0
P549,0.5084,region_only,0.0,65.67
P550,0.2805,nearby_1km,3.0,2.67
P551,0.2805,nearby_1km,3.0,26.67
P552,0.5084,region_only,0.0,65.67
P553,0.0823,nearby_1km,1.0,0.33
P554,0.5792,region_only,0.0,114.0
P555,0.5669,region_only,0.0,103.67
P556,0.1957,region_only,0.0,5.0
P557,0.2782,region_only,0.0,10.33
P558,0.2805,nearby_1km,3.0,4.0
P559,0.2805,nearby_1km,3.0,8.0
P560,0.1982,nearby_1km,2.0,54.67
P561,0.4903,region_only,0.0,57.0
P562,0.4603,nearby_1km,6.5,120.33
P563,0.5861,region_only,0.0,120.33
P564,0.3965,nearby_1km,5.0,5.0
P565,0.1957,region_only,0.0,5.0
P566,0.1461,nearby_1km,1.5,117.0
