placeId,nearbyAccidentRadius_m,nearbyAccidentPeriod,nearbyAccidentTotal,nearbyAccidentTypes,nearbyAnnualAvg,cnt_RP_ANIMAL_01,cnt_RP_COLD_01,cnt_RP_CO_01,cnt_RP_DROWN_01,cnt_RP_FALL_CLIFF,cnt_RP_FIRE_01,cnt_RP_HEAT_02,cnt_RP_MACHINE_01,cnt_RP_SLIP_TERRAIN,cnt_RP_TRAFFIC_01,nearbyRiskScore
P088,1000,2020-2021,12,"RP_SLIP_TERRAIN:5, RP_TRAFFIC_01:4, RP_ANIMAL_01:2, RP_MACHINE_01:1",6.0,2,0,0,0,0,0,0,1,5,4,0.0732
P089,1000,2020-2021,4,"RP_MACHINE_01:2, RP_TRAFFIC_01:1, RP_SLIP_TERRAIN:1",2.0,0,0,0,0,0,0,0,2,1,1,0.0244
P090,1000,2020-2021,10,"RP_TRAFFIC_01:5, RP_SLIP_TERRAIN:4, RP_MACHINE_01:1",5.0,0,0,0,0,0,0,0,1,4,5,0.061
P091,1000,2020-2021,5,"RP_SLIP_TERRAIN:4, RP_FALL_CLIFF:1",2.5,0,0,0,0,1,0,0,0,4,0,0.0305
P092,1000,2020-2021,19,"RP_SLIP_TERRAIN:8, RP_TRAFFIC_01:4, RP_MACHINE_01:3, RP_FALL_CLIFF:2, RP_DROWN_01:1, RP_ANIMAL_01:1",9.5,1,0,0,1,2,0,0,3,8,4,0.1159
P093,1000,2020-2021,9,"RP_TRAFFIC_01:4, RP_SLIP_TERRAIN:4, RP_MACHINE_01:1",4.5,0,0,0,0,0,0,0,1,4,4,0.0549
P094,1000,2020-2021,19,"RP_TRAFFIC_01:8, RP_SLIP_TERRAIN:7, RP_MACHINE_01:2, RP_DROWN_01:1, RP_FALL_CLIFF:1",9.5,0,0,0,1,1,0,0,2,7,8,0.1159
P095,1000,2020-2021,6,RP_TRAFFIC_01:6,3.0,0,0,0,0,0,0,0,0,0,6,0.0366
P096,1000,2020-2021,32,"RP_MACHINE_01:13, RP_TRAFFIC_01:10, RP_SLIP_TERRAIN:6, RP_FALL_CLIFF:2, RP_FIRE_01:1",16.0,0,0,0,0,2,1,0,13,6,10,0.1951
P098,1000,2020-2021,4,"RP_TRAFFIC_01:3, RP_SLIP_TERRAIN:1",2.0,0,0,0,0,0,0,0,0,1,3,0.0244
P099,1000,2020-2021,29,"RP_SLIP_TERRAIN:16, RP_TRAFFIC_01:5, RP_MACHINE_01:4, RP_FALL_CLIFF:3, RP_DROWN_01:1",14.5,0,0,0,1,3,0,0,4,16,5,0.1768
P101,1000,2020-2021,30,"RP_SLIP_TERRAIN:11, RP_TRAFFIC_01:7, RP_MACHINE_01:4, RP_ANIMAL_01:3, RP_DROWN_01:3, RP_CO_01:1, RP_FALL_CLIFF:1",15.0,3,0,1,3,1,0,0,4,11,7,0.1829
P102,1000,2020-2021,25,"RP_TRAFFIC_01:18, RP_SLIP_TERRAIN:3, RP_ANIMAL_01:2, RP_MACHINE_01:1, RP_HEAT_02:1",12.5,2,0,0,0,0,0,1,1,3,18,0.1524
P103,1000,2020-2021,29,"RP_TRAFFIC_01:23, RP_SLIP_TERRAIN:5, RP_ANIMAL_01:1",14.5,1,0,0,0,0,0,0,0,5,23,0.1768
P104,1000,2020-2021,59,"RP_MACHINE_01:20, RP_SLIP_TERRAIN:16, RP_TRAFFIC_01:15, RP_ANIMAL_01:3, RP_DROWN_01:3, RP_CO_01:1, RP_FALL_CLIFF:1",29.5,3,0,1,3,1,0,0,20,16,15,0.3598
P105,1000,2020-2021,22,"RP_TRAFFIC_01:19, RP_MACHINE_01:3",11.0,0,0,0,0,0,0,0,3,0,19,0.1341
P106,1000,2020-2021,5,"RP_TRAFFIC_01:3, RP_MACHINE_01:1, RP_SLIP_TERRAIN:1",2.5,0,0,0,0,0,0,0,1,1,3,0.0305
P107,1000,2020-2021,4,"RP_SLIP_TERRAIN:3, RP_FALL_CLIFF:1",2.0,0,0,0,0,1,0,0,0,3,0,0.0244
P108,1000,2020-2021,22,"RP_TRAFFIC_01:12, RP_SLIP_TERRAIN:6, RP_MACHINE_01:2, RP_FALL_CLIFF:1, RP_CO_01:1",11.0,0,0,1,0,1,0,0,2,6,12,0.1341
P109,1000,2020-2021,9,"RP_TRAFFIC_01:7, RP_SLIP_TERRAIN:2",4.5,0,0,0,0,0,0,0,0,2,7,0.0549
P110,1000,2020-2021,9,"RP_TRAFFIC_01:6, RP_SLIP_TERRAIN:2, RP_MACHINE_01:1",4.5,0,0,0,0,0,0,0,1,2,6,0.0549
P111,1000,2020-2021,2,RP_MACHINE_01:2,1.0,0,0,0,0,0,0,0,2,0,0,0.0122
P112,1000,2020-2021,157,"RP_TRAFFIC_01:84, RP_SLIP_TERRAIN:51, RP_MACHINE_01:12, RP_FALL_CLIFF:6, RP_ANIMAL_01:2, RP_DROWN_01:1, RP_CO_01:1",78.5,2,0,1,1,6,0,0,12,51,84,0.9573
