placeId,recentAreaTotal,recentAreaTypes,recentAreaPeriod,recentAreaBasis
P788,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P796,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P808,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P822,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P854,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P855,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P907,25,낙상:15;추락:3;동물곤충:3;관통상:2;기타 둔상:1;온열손상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P737,6,상해:3;낙상:2;열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P185,12,낙상:7;기타 둔상:3;열상:1;관통상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P346,1,열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P698,1,열상:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P004,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P013,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P074,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P129,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P146,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P201,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P230,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P240,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P255,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P402,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P429,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P467,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P492,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P519,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P554,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P586,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P594,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P601,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
P637,57,낙상:36;추락:8;동물곤충:6;열상:2;기타 둔상:2;온열손상:2;기계:1,"2022-2023,2025",읍면동+장소유형 매칭(개별 귀속 아님·약한 신호)
