accidentId,placeId,relationship,distance_m
AE_FIRE_PT_00357,P344,OCCURRED_AT,579
AE_FIRE_PT_00358,P178,OCCURRED_AT,257
AE_FIRE_PT_00359,P878,OCCURRED_AT,480
AE_FIRE_PT_00360,P975,OCCURRED_AT,846
AE_FIRE_PT_00362,P363,OCCURRED_AT,160
AE_FIRE_PT_00363,P941,OCCURRED_AT,865
AE_FIRE_PT_00364,P162,OCCURRED_AT,9
AE_FIRE_PT_00366,P122,OCCURRED_AT,112
AE_FIRE_PT_00367,P222,OCCURRED_AT,136
AE_FIRE_PT_00368,P079,OCCURRED_AT,224
AE_FIRE_PT_00369,P797,OCCURRED_AT,556
AE_FIRE_PT_00370,P292,OCCURRED_AT,155
AE_FIRE_PT_00371,P292,OCCURRED_AT,155
AE_FIRE_PT_00372,P688,OCCURRED_AT,65
AE_FIRE_PT_00373,P391,OCCURRED_AT,72
AE_FIRE_PT_00374,P1021,OCCURRED_AT,732
