placeId,region_id,relationship
P358,REG_서귀포시_서홍동,LOCATED_IN
P359,REG_서귀포시_서홍동,LOCATED_IN
P360,REG_서귀포시_서홍동,LOCATED_IN
P361,REG_제주시_애월읍,LOCATED_IN
P362,REG_제주시_애월읍,LOCATED_IN
P363,REG_서귀포시_안덕면,LOCATED_IN
P364,REG_서귀포시_성산읍,LOCATED_IN
P365,REG_서귀포시_서귀동,LOCATED_IN
P366,REG_서귀포시_안덕면,LOCATED_IN
P367,REG_제주시_한경면,LOCATED_IN
P368,REG_서귀포시_서홍동,LOCATED_IN
P369,REG_서귀포시_성산읍,LOCATED_IN
P370,REG_제주시_애월읍,LOCATED_IN
P371,REG_서귀포시_안덕면,LOCATED_IN
P372,REG_서귀포시_서홍동,LOCATED_IN
P373,REG_제주시_봉개동,LOCATED_IN
P374,REG_제주시_애월읍,LOCATED_IN
P375,REG_제주시_구좌읍,LOCATED_IN
P376,REG_제주시_구좌읍,LOCATED_IN
P377,REG_제주시_구좌읍,LOCATED_IN
P378,REG_서귀포시_남원읍,LOCATED_IN
P379,REG_서귀포시_남원읍,LOCATED_IN
P380,REG_서귀포시_안덕면,LOCATED_IN
P381,REG_제주시_한림읍,LOCATED_IN
P382,REG_제주시_추자면,LOCATED_IN
P383,REG_서귀포시_대정읍,LOCATED_IN
P384,REG_제주시_한경면,LOCATED_IN
P385,REG_서귀포시_안덕면,LOCATED_IN
P386,REG_제주시_일도이동,LOCATED_IN
P387,REG_제주시_용담삼동,LOCATED_IN
P388,REG_제주시_한림읍,LOCATED_IN
P389,REG_제주시_한림읍,LOCATED_IN
P390,REG_서귀포시_성산읍,LOCATED_IN
P391,REG_서귀포시_대정읍,LOCATED_IN
P392,REG_제주시_애월읍,LOCATED_IN
P393,REG_제주시_한경면,LOCATED_IN
P394,REG_서귀포시_대정읍,LOCATED_IN
P395,REG_제주시_일도이동,LOCATED_IN
P396,REG_제주시_구좌읍,LOCATED_IN
P397,REG_제주시_일도이동,LOCATED_IN
P398,REG_제주시_구좌읍,LOCATED_IN
P399,REG_서귀포시_대정읍,LOCATED_IN
P400,REG_제주시_구좌읍,LOCATED_IN
P401,REG_제주시_일도이동,LOCATED_IN
P402,REG_제주시_조천읍,LOCATED_IN
P403,REG_서귀포시_표선면,LOCATED_IN
P404,REG_서귀포시_남원읍,LOCATED_IN
P405,REG_제주시_외도이동,LOCATED_IN
P406,REG_제주시_이호일동,LOCATED_IN
P407,REG_제주시_구좌읍,LOCATED_IN
P408,REG_서귀포시_안덕면,LOCATED_IN
P409,REG_서귀포시_안덕면,LOCATED_IN
P410,REG_서귀포시_안덕면,LOCATED_IN
P411,REG_서귀포시_성산읍,LOCATED_IN
P412,REG_서귀포시_안덕면,LOCATED_IN
P413,REG_제주시_구좌읍,LOCATED_IN
P414,REG_제주시_우도면,LOCATED_IN
P415,REG_서귀포시_안덕면,LOCATED_IN
P416,REG_서귀포시_대정읍,LOCATED_IN
P417,REG_서귀포시_토평동,LOCATED_IN
P418,REG_제주시_애월읍,LOCATED_IN
P419,REG_서귀포시_남원읍,LOCATED_IN
P420,REG_제주시_한림읍,LOCATED_IN
P421,REG_제주시_조천읍,LOCATED_IN
P422,REG_제주시_조천읍,LOCATED_IN
P423,REG_서귀포시_안덕면,LOCATED_IN
P424,REG_서귀포시_성산읍,LOCATED_IN
P425,REG_서귀포시_색달동,LOCATED_IN
P426,REG_제주시_연동,LOCATED_IN
P427,REG_제주시_애월읍,LOCATED_IN
P428,REG_제주시_연동,LOCATED_IN
P429,REG_제주시_조천읍,LOCATED_IN
P430,REG_제주시_한림읍,LOCATED_IN
P431,REG_제주시_구좌읍,LOCATED_IN
P432,REG_제주시_구좌읍,LOCATED_IN
P433,REG_제주시_구좌읍,LOCATED_IN
P434,REG_서귀포시_호근동,LOCATED_IN
P435,REG_서귀포시_법환동,LOCATED_IN
P436,REG_제주시_구좌읍,LOCATED_IN
P437,REG_제주시_오라이동,LOCATED_IN
P438,REG_서귀포시_법환동,LOCATED_IN
P439,REG_제주시_화북일동,LOCATED_IN
P440,REG_서귀포시_하효동,LOCATED_IN
P441,REG_서귀포시_안덕면,LOCATED_IN
P442,REG_제주시_내도동,LOCATED_IN
P443,REG_제주시_우도면,LOCATED_IN
P444,REG_서귀포시_대정읍,LOCATED_IN
P445,REG_서귀포시_대정읍,LOCATED_IN
P446,REG_제주시_구좌읍,LOCATED_IN
P447,REG_제주시_노형동,LOCATED_IN
P448,REG_서귀포시_안덕면,LOCATED_IN
P449,REG_제주시_구좌읍,LOCATED_IN
P450,REG_서귀포시_대정읍,LOCATED_IN
P451,REG_제주시_해안동,LOCATED_IN
P452,REG_서귀포시_안덕면,LOCATED_IN
P453,REG_서귀포시_안덕면,LOCATED_IN
P454,REG_서귀포시_하원동,LOCATED_IN
P455,REG_서귀포시_신효동,LOCATED_IN
P456,REG_서귀포시_하원동,LOCATED_IN
P457,REG_서귀포시_하원동,LOCATED_IN
P458,REG_제주시_구좌읍,LOCATED_IN
