risk_id,placeId,relationship
RP_WIND_02,P424,APPLIES_TO
RP_WIND_02,P429,APPLIES_TO
RP_WIND_02,P431,APPLIES_TO
RP_WIND_02,P432,APPLIES_TO
RP_WIND_02,P436,APPLIES_TO
RP_WIND_02,P437,APPLIES_TO
RP_WIND_02,P438,APPLIES_TO
RP_WIND_02,P440,APPLIES_TO
RP_WIND_02,P442,APPLIES_TO
RP_WIND_02,P443,APPLIES_TO
RP_WIND_02,P449,APPLIES_TO
RP_WIND_02,P452,APPLIES_TO
RP_WIND_02,P456,APPLIES_TO
RP_WIND_02,P458,APPLIES_TO
RP_WIND_02,P460,APPLIES_TO
RP_WIND_02,P466,APPLIES_TO
RP_WIND_02,P467,APPLIES_TO
RP_WIND_02,P476,APPLIES_TO
RP_WIND_02,P478,APPLIES_TO
RP_WIND_02,P479,APPLIES_TO
RP_WIND_02,P483,APPLIES_TO
RP_WIND_02,P485,APPLIES_TO
RP_WIND_02,P486,APPLIES_TO
RP_WIND_02,P487,APPLIES_TO
RP_WIND_02,P488,APPLIES_TO
RP_WIND_02,P489,APPLIES_TO
RP_WIND_02,P490,APPLIES_TO
RP_WIND_02,P491,APPLIES_TO
RP_WIND_02,P493,APPLIES_TO
RP_WIND_02,P497,APPLIES_TO
RP_WIND_02,P498,APPLIES_TO
RP_WIND_02,P501,APPLIES_TO
RP_WIND_02,P503,APPLIES_TO
RP_WIND_02,P505,APPLIES_TO
RP_WIND_02,P506,APPLIES_TO
RP_WIND_02,P509,APPLIES_TO
RP_WIND_02,P510,APPLIES_TO
RP_WIND_02,P513,APPLIES_TO
RP_WIND_02,P520,APPLIES_TO
RP_WIND_02,P523,APPLIES_TO
RP_WIND_02,P534,APPLIES_TO
RP_WIND_02,P536,APPLIES_TO
RP_WIND_02,P537,APPLIES_TO
RP_WIND_02,P539,APPLIES_TO
RP_WIND_02,P541,APPLIES_TO
RP_WIND_02,P546,APPLIES_TO
RP_WIND_02,P549,APPLIES_TO
RP_WIND_02,P550,APPLIES_TO
